cif,formula,sgnum,WyckOcc,sitios,elements,atoms,target
1521887,La2ZnRhO6,14,"{0: {'b': {'Zn': 1}}, 1: {'c': {'Rh': 1}}, 2: {'e': {'La': 1}}, 3: {'e': {'O': 1}}, 4: {'e': {'O': 1}}, 5: {'e': {'O': 1}}}",6,4.0,20.0,7
1526058,Ba4Bi0.6Sb0.6Pb2.8O12,140,"{0: {'a': {'O': 1}}, 1: {'b': {'Ba': 1}}, 2: {'c': {'Bi': 0.15, 'Pb': 0.7, 'Sb': 0.15}}, 3: {'h': {'O': 1}}}",4,5.0,20.0,7
2106645,Ba2.24Ce3.544Pr1.76O12,62,"{0: {'b': {'Ce': 0.886}}, 1: {'c': {'Pr': 0.44, 'Ba': 0.56}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,19.544,7
1528816,Sr3.2La0.8Ta2Fe2O12,14,"{0: {'b': {'Ta': 1}}, 1: {'c': {'Fe': 1}}, 2: {'e': {'La': 0.2, 'Sr': 0.8}}, 3: {'e': {'O': 1}}, 4: {'e': {'O': 1}}, 5: {'e': {'O': 1}}}",6,5.0,20.0,7
1535913,Ba2EuSbO6,225,"{0: {'a': {'Sb': 1}}, 1: {'b': {'Eu': 1}}, 2: {'c': {'Ba': 1}}, 3: {'e': {'O': 1}}}",4,4.0,40.0,7
1525465,Ba3SnO,221,"{0: {'a': {'Sn': 1}}, 1: {'b': {'O': 1}}, 2: {'c': {'Ba': 1}}}",3,3.0,5.0,7
1509477,Ta0.5Nb0.5Ag1O3,221,"{0: {'a': {'Ag': 1}}, 1: {'b': {'Ta': 0.5, 'Nb': 0.5}}, 2: {'c': {'O': 1}}}",3,4.0,5.0,7
9010217,MgCd(CO3)2,167,"{0: {'a': {'C': 1}}, 1: {'b': {'Mg': 0.5, 'Cd': 0.5}}, 2: {'e': {'O': 1}}}",3,4.0,30.0,7
1529168,Sr8Fe3.96Mo3.96O24,225,"{0: {'a': {'Mo': 0.05, 'Fe': 0.94}}, 1: {'b': {'Mo': 0.94, 'Fe': 0.05}}, 2: {'c': {'Sr': 1}}, 3: {'e': {'O': 1}}}",4,4.0,39.92,7
1522098,La2.24Nd1.76Ga4O12,62,"{0: {'b': {'Ga': 1}}, 1: {'c': {'Nd': 0.44, 'La': 0.56}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1511434,Er1B0.98Rh3,221,"{0: {'a': {'Er': 1}}, 1: {'b': {'B': 0.98}}, 2: {'c': {'Rh': 1}}}",3,3.0,4.98,7
2003125,DyFeO3,62,"{0: {'b': {'Fe': 1}}, 1: {'c': {'Dy': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
1520879,K2.4Sr1.6Bi4O10.48,140,"{0: {'a': {'O': 0.62}}, 1: {'b': {'K': 0.6, 'Sr': 0.4}}, 2: {'c': {'Bi': 1}}, 3: {'h': {'O': 1}}}",4,4.0,18.48,7
4002497,Ba1.62La4.38Sc0.6Mn5.4O18,167,"{0: {'a': {'La': 0.73, 'Ba': 0.27}}, 1: {'b': {'Mn': 0.9, 'Sc': 0.1}}, 2: {'e': {'O': 1}}}",3,5.0,30.0,7
4124863,PrCrO3,221,"{0: {'a': {'Pr': 1}}, 1: {'b': {'Cr': 1}}, 2: {'c': {'O': 1}}}",3,3.0,5.0,7
1533814,La2TiCrO6,167,"{0: {'a': {'La': 1}}, 1: {'b': {'Ti': 0.5, 'Cr': 0.5}}, 2: {'e': {'O': 1}}}",3,4.0,30.0,7
1521457,La4Mg2.816Nb1.184O12,62,"{0: {'a': {'Mg': 0.704, 'Nb': 0.296}}, 1: {'c': {'La': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1537264,K1Nb1O2.0001F0.9999,221,"{0: {'a': {'K': 1}}, 1: {'b': {'Nb': 1}}, 2: {'c': {'F': 0.333, 'O': 0.667}}}",3,4.0,5.0,7
4330791,Ba0.4Sr0.6Ti1O2.706,221,"{0: {'a': {'Sr': 0.6, 'Ba': 0.4}}, 1: {'b': {'Ti': 1}}, 2: {'c': {'O': 0.902}}}",3,4.0,4.706,7
4031587,K0.31Ba0.67Sm0.34Bi0.68O3,221,"{0: {'a': {'Sm': 0.02, 'K': 0.31, 'Ba': 0.67}}, 1: {'b': {'Sm': 0.32, 'Bi': 0.68}}, 2: {'d': {'O': 1}}}",3,5.0,5.0,7
1511100,ErBPd3,221,"{0: {'a': {'Er': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1526757,Ba6Ce4.8Y1.2O17.406,167,"{0: {'a': {'Ba': 1}}, 1: {'b': {'Y': 0.2, 'Ce': 0.8}}, 2: {'e': {'O': 0.967}}}",3,4.0,29.406,7
9001247,Ca2.991Mg0.819Fe2.19C6O18,148,"{0: {'a': {'Ca': 0.978, 'Fe': 0.022}}, 1: {'b': {'Ca': 0.019, 'Mg': 0.273, 'Fe': 0.708}}, 2: {'c': {'C': 1}}, 3: {'f': {'O': 1}}}",4,5.0,30.0,7
1511090,DyBPd3,221,"{0: {'a': {'Dy': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1521712,Ba1Ce0.1Zr0.9O3,221,"{0: {'a': {'Zr': 0.9, 'Ce': 0.1}}, 1: {'b': {'Ba': 1}}, 2: {'d': {'O': 1}}}",3,4.0,5.0,7
1521093,SrSnO3,62,"{0: {'b': {'Sn': 1}}, 1: {'c': {'Sr': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
1541644,CaSnO3,221,"{0: {'a': {'Sn': 1}}, 1: {'b': {'Ca': 1}}, 2: {'d': {'O': 1}}}",3,3.0,5.0,7
4319228,K3WF6,225,"{0: {'a': {'W': 1}}, 1: {'b': {'K': 1}}, 2: {'c': {'K': 1}}, 3: {'e': {'F': 1}}}",4,3.0,40.0,7
1535683,LiPr2IrO6,14,"{0: {'a': {'Li': 1}}, 1: {'d': {'Ir': 1}}, 2: {'e': {'Pr': 1}}, 3: {'e': {'O': 1}}, 4: {'e': {'O': 1}}, 5: {'e': {'O': 1}}}",6,4.0,20.0,7
1525691,Ca0.6Tb3.4Mn4O12,62,"{0: {'b': {'Mn': 1}}, 1: {'c': {'Ca': 0.15, 'Tb': 0.85}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
