cif,formula,sgnum,WyckOcc,sitios,elements,atoms,target
1511195,ScBIr3,221,"{0: {'a': {'Sc': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Ir': 1}}}",3,3.0,5.0,7
1511207,LaBPd3,221,"{0: {'a': {'La': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1511209,Er1B0.5Pd3,221,"{0: {'a': {'Er': 1}}, 1: {'b': {'B': 0.5}}, 2: {'c': {'Pd': 1}}}",3,3.0,4.5,7
1511210,LaBRh3,221,"{0: {'a': {'La': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
1511218,In1Ni3.5B0.5,221,"{0: {'a': {'In': 1}}, 1: {'b': {'Ni': 0.5, 'B': 0.5}}, 2: {'c': {'Ni': 1}}}",3,3.0,5.0,7
1511226,Ce1B0.55Rh3,221,"{0: {'a': {'Ce': 1}}, 1: {'b': {'B': 0.55}}, 2: {'c': {'Rh': 1}}}",3,3.0,4.55,7
1511230,LuBRh3,221,"{0: {'a': {'Lu': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
1511233,Ce1B0.6Pd3,221,"{0: {'a': {'Ce': 1}}, 1: {'b': {'B': 0.6}}, 2: {'c': {'Pd': 1}}}",3,3.0,4.6,7
1511260,NdBPd3,221,"{0: {'a': {'Nd': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1511293,Sc3BPb,221,"{0: {'a': {'Pb': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Sc': 1}}}",3,3.0,5.0,7
1511296,PrBPd3,221,"{0: {'a': {'Pr': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1511297,SmBPd3,221,"{0: {'a': {'Sm': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1511298,Sc1B0.706Rh3,221,"{0: {'a': {'Sc': 1}}, 1: {'b': {'B': 0.706}}, 2: {'c': {'Rh': 1}}}",3,3.0,4.706,7
1511299,TbBPd3,221,"{0: {'a': {'Tb': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
